School,Win.per,SOS,HomeW,HomeL,AwayW,AwayL,Pace,ORtg,FTr,ThreePAr,TS.per,TRB.per,AST.per,STL.per,BLK.per,eFG.per,TOV.per,ORB.per,FTperFGA,WinSOS,PPG,OPPG,GamesWon
Gonzaga NCAA,0.865,2.59,15,1,10,1,69.8,118,0.321,0.394,0.593,56,50.1,8.9,9.6,0.57,13.9,32.4,0.227,2.24035,83.54054054,67.7027027,2
UCLA NCAA,0.757,7.62,16,2,5,5,70,115.1,0.382,0.275,0.579,51.2,59.3,13.1,9,0.541,12.7,29.8,0.286,5.76834,81.16216216,70.37837838,2
Virginia NCAA,0.811,7.86,15,2,7,4,60.6,108.8,0.42,0.297,0.542,54.7,56.6,8.6,12,0.508,13.8,33.2,0.283,6.37446,66.18918919,55.67567568,2
Arizona NCAA,0.865,7.63,15,1,9,1,67.3,113.8,0.405,0.305,0.58,55.1,51.3,8.1,8.8,0.537,14.5,33.1,0.31,6.59995,76.56756757,65.94594595,2
Butler NCAA,0.735,10.23,13,3,7,4,67.3,112.6,0.371,0.376,0.581,50.6,50,8.9,8.4,0.546,13.4,27.1,0.275,7.51905,76.32352941,68.85294118,2
Tennessee NCAA,0.649,7.84,14,3,4,7,62.8,114.2,0.416,0.308,0.545,56.2,50.9,8.2,12,0.503,13.7,39.8,0.299,5.08816,72.21621622,61.7027027,2
Kentucky NCAA,0.703,10.73,16,2,4,6,69.8,109.6,0.44,0.258,0.555,53.6,49,8,13.7,0.518,15.8,35.3,0.307,7.54319,76.75675676,70.24324324,2
Clemson NCAA,0.714,9.25,15,1,4,6,67.6,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27,0.253,6.6045,73.82857143,65.91428571,2
Iowa State NCAA,0.657,10.16,14,2,4,7,71.5,113.1,0.261,0.351,0.59,49.7,53.1,8.6,9.8,0.571,14.1,26.1,0.183,6.67512,81.77142857,75,2
Gonzaga NCAA,0.778,4.23,11,4,9,2,68.1,115.4,0.34,0.355,0.587,55.2,49.6,7.5,7.7,0.553,14.7,32.3,0.258,3.29094,78.88888889,65.55555556,2
Maryland NCAA,0.75,8.31,16,1,4,6,67.3,112.1,0.384,0.381,0.594,51.9,51.7,8.6,13.9,0.555,16.6,28.6,0.295,6.2325,75.69444444,66.66666667,2
Baylor NCAA,0.684,10.11,13,4,5,5,64.2,115.1,0.45,0.344,0.556,54.8,58.7,8,14,0.521,14.7,40.6,0.306,6.91524,74.81578947,67.81578947,2
Wichita State NCAA,0.857,3.68,15,0,10,2,61.9,112.7,0.37,0.347,0.541,53.6,55.3,11.5,11.3,0.507,12.6,34.9,0.259,3.15376,70.28571429,57.37142857,2
Xavier NCAA,0.622,9.48,13,3,5,7,65.6,109.8,0.385,0.331,0.57,52.8,62.3,9,8.3,0.534,15.8,31.3,0.281,5.89656,73.2972973,67.35135135,2
Texas A&M NCAA,0.629,10.62,13,3,4,7,70.9,106,0.32,0.33,0.538,54.3,55.1,7.7,15.3,0.514,16.3,33.7,0.212,6.67998,75.17142857,70.48571429,2
West Virginia NCAA,0.714,9.29,12,3,5,5,68.7,104.9,0.404,0.336,0.499,52.1,56.7,15.5,8.7,0.461,15.1,40.2,0.267,6.63306,72.62857143,66.8,2
San Diego State NCAA,0.861,4.86,15,1,9,2,63.9,109.2,0.449,0.258,0.519,53.6,40.8,11.8,14.1,0.481,12.7,36.7,0.298,4.18446,70.27777778,57,2
Nevada NCAA,0.784,4.93,14,1,11,3,70.6,115.5,0.363,0.404,0.582,49.4,57,8.7,10.9,0.548,12,26.2,0.269,3.86512,82.56756757,73.05405405,2
North Carolina State NCAA,0.611,9.72,14,6,5,5,64.5,108,0.354,0.322,0.526,52.3,46.4,5.9,13.1,0.493,13.5,34,0.243,5.93892,70.13888889,65.75,2
Stanford NCAA,0.639,9,12,4,6,5,67.1,108,0.45,0.293,0.553,51.3,46.3,7.9,11.6,0.513,14.7,29.3,0.316,5.751,72.66666667,68.25,2
Wisconsin NCAA,0.629,9.4,13,5,6,5,64.1,105.1,0.38,0.342,0.524,52.3,49,9.1,8.6,0.485,14.6,33,0.267,5.9126,67.8,63.8,2
Syracuse NCAA,0.622,10.02,14,5,4,6,64.3,102.2,0.405,0.328,0.518,52.6,47.5,10.7,17.4,0.469,16.2,34.1,0.298,6.23244,66.64864865,63.78378378,2
UCLA NCAA,0.611,8.27,16,1,2,8,67.3,106.1,0.357,0.289,0.527,52.6,53.5,9.8,11,0.496,14.9,33.8,0.242,5.05297,71.94444444,68.13888889,2
Yale NCAA,0.767,-1.03,12,0,9,6,66.9,111.5,0.413,0.309,0.555,57.8,56.9,8.4,12.6,0.526,16.4,39.4,0.276,-0.79001,74.93333333,63.8,2
Michigan NCAA,0.824,10.89,17,1,7,4,65.4,107.6,0.27,0.402,0.545,50.2,54.2,9.4,10.6,0.521,12,24,0.189,8.97336,70.38235294,58.55882353,2
Tennessee NCAA,0.853,10.3,18,0,7,3,69.6,116.3,0.334,0.316,0.588,52.4,61,8.5,15.2,0.554,13.9,31.3,0.255,8.7859,81.79411765,68.64705882,2
Louisiana State NCAA,0.813,8.86,15,2,9,1,70.5,112.3,0.377,0.343,0.559,53.5,46.1,12.6,12,0.517,15.3,37.3,0.284,7.20318,81.375,73.03125,2
Florida State NCAA,0.794,10.63,15,1,6,4,69.2,106.7,0.363,0.383,0.547,53.3,49.8,9.9,12.5,0.507,16.5,33.1,0.269,8.44022,74.91176471,67.11764706,2
North Carolina NCAA,0.818,12.21,14,2,11,1,76.1,112.7,0.309,0.359,0.561,56.2,61.3,9.4,9.8,0.529,14.6,34.4,0.229,9.98778,86.06060606,72.93939394,2
Virginia Tech NCAA,0.75,7.98,14,2,5,5,64.3,114.2,0.315,0.45,0.595,52.1,59.6,10.3,8.7,0.564,15.4,29.7,0.238,5.985,74,62.09375,2
Houston NCAA,0.912,3.86,19,1,10,1,67.6,111.9,0.319,0.429,0.55,54.9,55.8,9.5,13.8,0.521,14.2,34.4,0.224,3.52032,75.61764706,61.23529412,2
Oregon NCAA,0.657,5.26,13,4,5,7,65.9,106.2,0.303,0.393,0.547,51.4,52.7,11.7,14.6,0.517,15.5,29.6,0.218,3.45582,70.48571429,62.94285714,2
Villanova NCAA,0.889,9.28,14,1,9,2,65.6,117.6,0.35,0.433,0.612,53,52.3,11,9,0.575,15,30,0.276,8.24992,77.19444444,62.66666667,1
Villanova NCAA,0.917,7.55,15,0,9,2,65,116.9,0.418,0.429,0.589,51.5,62.2,11.8,11,0.553,14,32.5,0.305,6.92335,76.5,60.91666667,1
Louisville NCAA,0.735,11.15,16,1,5,5,68.5,112,0.34,0.321,0.543,54.1,48.4,9.7,15.2,0.514,13.4,36.6,0.233,8.19525,77.29411765,65.97058824,1
Michigan State NCAA,0.857,7.1,16,1,8,1,68.2,117.2,0.359,0.363,0.601,57.6,67.6,6,18.5,0.569,16.4,36.8,0.268,6.0847,80.2,64.88571429,1
Virginia NCAA,0.882,7.81,15,1,11,1,58.6,110.8,0.349,0.275,0.543,56,53.5,9.3,13.3,0.506,13.4,34.2,0.254,6.88842,65.41176471,51.5,1
Duke NCAA,0.757,10.91,15,1,4,6,69.9,115.7,0.393,0.383,0.588,51.9,47.5,8.7,10.9,0.548,14.2,31.6,0.299,8.25887,80.83783784,70.18918919,1
Wichita State NCAA,0.861,2.96,16,1,9,1,69.4,116.7,0.401,0.364,0.579,56.1,59.1,9.4,11.4,0.543,13.9,34.2,0.294,2.54856,81,62.38888889,1
Virginia NCAA,0.676,10.93,12,4,7,5,60.3,107.9,0.26,0.33,0.548,52.3,56.4,9.1,13.9,0.524,13.7,28.2,0.184,7.38868,66.05882353,56.35294118,1
Iowa State NCAA,0.686,11.94,12,3,5,6,70.6,112.5,0.276,0.393,0.572,47.7,53.6,10.8,8.9,0.55,12.6,25.6,0.194,8.19084,80.82857143,72.25714286,1
Cincinnati NCAA,0.861,3.53,15,1,9,2,66.2,112.2,0.36,0.353,0.543,55.6,60.4,10.7,15.8,0.512,14.1,38.4,0.249,3.03933,74.25,57.52777778,1
Kansas NCAA,0.714,11.4,14,1,5,6,68.6,114.3,0.483,0.287,0.58,55.5,54.8,8.4,14.6,0.542,16.3,37.3,0.343,8.1396,78.97142857,70.11428571,1
Kentucky NCAA,0.75,8.84,17,0,4,7,68.2,115.3,0.378,0.31,0.564,53.6,49.8,8.3,14.1,0.535,13.3,36.8,0.261,6.63,79.47222222,68.08333333,1
North Carolina NCAA,0.703,11.78,12,3,6,5,71.7,113.4,0.28,0.351,0.551,56.4,61,8,11.1,0.52,14,37.4,0.208,8.28134,81.56756757,73.27027027,1
Ohio State NCAA,0.686,7.37,18,2,4,6,66,113.2,0.347,0.319,0.567,51.5,55.4,11.4,14.6,0.542,14.6,33.5,0.236,5.05582,75.28571429,62.97142857,1
Xavier NCAA,0.829,9.45,17,1,9,2,72.4,115.4,0.41,0.358,0.601,55.1,57.3,8,8.4,0.559,15.2,29.9,0.32,7.83405,84.37142857,74.74285714,1
Villanova NCAA,0.853,7.5,15,1,10,2,67.6,113.2,0.445,0.448,0.574,52.6,60.1,10.1,11.2,0.536,14.9,32.6,0.318,6.3975,77.97058824,66.5,1
Florida State NCAA,0.743,8.87,18,0,3,6,72.6,113.1,0.384,0.313,0.566,52.7,49.3,10.2,13.7,0.537,14.1,33.6,0.265,6.59041,82.08571429,72.08571429,1
Xavier NCAA,0.824,8.43,15,1,8,3,72.4,111.2,0.417,0.342,0.556,54.9,59.1,10,8.4,0.514,14.8,35.2,0.305,6.94632,80.5,70.35294118,1
Kansas NCAA,0.75,12.13,15,0,5,5,66.7,106.3,0.426,0.284,0.539,52.6,54.7,9.8,12.3,0.494,16.3,34.9,0.309,9.0975,71.13888889,64.80555556,1
Cincinnati NCAA,0.833,5.49,18,0,8,3,65.1,113.3,0.325,0.361,0.547,53.3,57.5,11.1,13.9,0.52,12.9,35.5,0.223,4.57317,74.27777778,61.33333333,1
Tennessee NCAA,0.743,10.12,13,2,8,4,67.1,109.3,0.355,0.357,0.549,51.4,62.1,9.4,12.8,0.508,15.2,33.3,0.269,7.51916,73.82857143,65.74285714,1
Creighton NCAA,0.771,7.17,16,0,7,4,65.3,120.6,0.339,0.446,0.616,51.7,64.2,6.1,3.8,0.589,13.3,27.7,0.252,5.52807,78.74285714,67.88571429,1
Notre Dame NCAA,0.722,9.78,16,2,5,4,67.7,113.8,0.286,0.406,0.573,48.7,57.8,10.4,9.7,0.536,12.3,27.3,0.229,7.06116,77.30555556,69.27777778,1
Ohio State NCAA,0.735,9.03,16,2,6,2,68,110.9,0.311,0.342,0.57,53.6,52.5,8.9,11.3,0.541,14.9,29.8,0.227,6.63705,76.20588235,67.55882353,1
Pittsburgh NCAA,0.722,7.54,13,5,7,2,62.4,113,0.443,0.269,0.55,54.5,62.9,11.1,8.6,0.507,13.7,37.3,0.315,5.44388,71.83333333,61.91666667,1
Wichita State NCAA,0.743,4.24,14,1,9,3,66.1,108.8,0.38,0.381,0.531,53.1,56.4,10.9,11.6,0.49,12.7,31.7,0.272,3.15032,72.42857143,59.02857143,1
Iowa NCAA,0.667,8.71,13,2,6,5,69.1,111.5,0.33,0.355,0.546,50.6,57.7,9.7,12.5,0.513,12.6,31.8,0.237,5.80957,77.60606061,69.3030303,1
Butler NCAA,0.6,10.55,14,3,3,7,69.7,110.9,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.1,0.202,6.33,78.94285714,72.57142857,1
Saint Mary's (CA) NCAA,0.853,2.19,15,2,10,1,61.3,117.6,0.278,0.414,0.602,57.2,63.1,6.9,8.5,0.578,15.2,33,0.207,1.86807,72.02941176,57.47058824,1
Florida NCAA,0.618,10.08,12,5,5,4,68.4,109.6,0.326,0.403,0.54,48.5,49.8,10.1,12.7,0.507,12.3,28.7,0.234,6.22944,75.79411765,69.20588235,1
Wichita State NCAA,0.972,1.74,17,0,12,0,64.5,116.1,0.472,0.367,0.569,55.3,54.8,10.6,15,0.526,13.6,35.1,0.342,1.69128,75.16666667,59.47222222,1
Butler NCAA,0.676,8.62,13,3,7,4,64.2,105.9,0.408,0.287,0.522,54.2,47.5,9.8,8.8,0.484,14.3,34.7,0.279,5.82712,69,60.97058824,1
Butler NCAA,0.667,7.55,13,3,5,5,69.8,114.1,0.393,0.305,0.564,52.3,51,9.8,8.9,0.526,12.5,32.1,0.287,5.03585,79.93939394,71.03030303,1
Syracuse NCAA,0.824,7.25,16,2,8,2,60.5,111.6,0.382,0.27,0.522,52.8,49.1,13.1,17.2,0.482,12.1,38.1,0.27,5.974,67.97058824,59.17647059,1
Houston NCAA,0.771,4.16,15,0,6,5,68.5,111.9,0.326,0.372,0.563,54.6,53,9.1,9,0.533,14.9,33.4,0.234,3.20736,76.71428571,64.88571429,1
Auburn NCAA,0.765,7.29,15,1,7,4,73.5,111.4,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,31.8,0.308,5.57685,81.85294118,73.17647059,1
Connecticut NCAA,0.694,6.28,14,3,6,4,66.2,108.9,0.296,0.336,0.555,51.1,51.8,8.7,14,0.516,14,28.3,0.235,4.35832,73.08333333,63.47222222,1
Iowa NCAA,0.647,8.39,14,4,7,4,64.5,107.4,0.38,0.302,0.527,52.9,58.7,9.9,13.1,0.481,14.4,35.6,0.282,5.42833,69.76470588,62.32352941,1
Oregon NCAA,0.706,8.05,15,3,5,5,69.9,115,0.438,0.337,0.583,50.7,53,10.9,8.7,0.535,14,32.2,0.338,5.6833,81.85294118,74.14705882,1
Seton Hall NCAA,0.647,10.11,14,3,5,6,71.1,110.9,0.352,0.33,0.558,53.1,54.3,8.6,9.1,0.529,15.2,34,0.246,6.54117,79.44117647,73.88235294,1
Gonzaga NCAA,0.806,5.36,15,0,8,4,68.1,114.1,0.404,0.328,0.59,52.3,54,9.7,10.2,0.56,15.2,30.6,0.286,4.32016,76.69444444,65.88888889,1
Utah NCAA,0.75,8.79,16,1,5,5,67.7,112.5,0.382,0.373,0.588,53.2,57,8.1,9.9,0.557,16,30.2,0.276,6.5925,77.16666667,69.5,1
Georgetown NCAA,0.667,9.81,13,3,5,4,64.6,108.1,0.439,0.325,0.552,52.2,53.4,11.6,14.1,0.513,16.4,34.3,0.309,6.54327,70.90909091,65.24242424,1
North Carolina NCAA,0.706,8.42,15,3,6,5,70,108.5,0.429,0.211,0.526,53.4,54.9,10.4,12.5,0.499,14.1,38.1,0.268,5.94452,76.58823529,69.76470588,1
Arkansas NCAA,0.75,6.79,17,2,7,5,70.1,109.6,0.373,0.31,0.539,50.2,59.2,10.9,12,0.5,14.3,35.7,0.27,5.0925,77.41666667,70.13888889,1
Arkansas NCAA,0.722,8.6,15,3,6,5,71.7,110.7,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.7,0.29,6.2092,79.30555556,73.86111111,1
Northwestern NCAA,0.667,8.43,14,4,5,5,66.6,106.8,0.304,0.357,0.534,50.6,59.1,7.9,13.2,0.497,13.8,30.7,0.227,5.62281,71.05555556,65.47222222,1
Virginia Commonwealth NCAA,0.694,4.35,15,2,7,4,69.9,109.7,0.322,0.333,0.539,52,51,12.2,9.8,0.51,13.6,32.6,0.223,3.0189,77.25,67.77777778,1
Michigan State NCAA,0.571,10.5,14,2,2,7,68.2,105.1,0.335,0.38,0.563,52.6,65.3,6.3,11.9,0.54,18,29.1,0.224,5.9955,71.85714286,68.68571429,1
Maryland NCAA,0.8,7.63,18,1,6,4,64.7,106.1,0.445,0.387,0.562,51.1,48.1,7.4,11.9,0.512,16.7,28.9,0.336,6.104,69.05714286,63.37142857,1
Memphis NCAA,0.706,7.14,15,2,5,5,70.6,108.2,0.399,0.275,0.547,51.5,61.7,12.2,11,0.522,15.8,35.6,0.257,5.04084,76.88235294,70.5,1
Rhode Island NCAA,0.714,4.62,13,3,7,5,67.4,108.8,0.392,0.323,0.538,51.8,51,9.6,15.7,0.507,14,32.8,0.262,3.29868,73.62857143,65.37142857,1
Texas NCAA,0.686,9.15,16,2,4,6,69.1,107,0.434,0.26,0.514,54.6,49.9,8.2,15.8,0.474,14.4,39.6,0.291,6.2769,74.22857143,70.71428571,1
Northern Iowa NCAA,0.886,2,16,0,9,3,57.4,111.9,0.398,0.399,0.593,51.9,53.2,10.2,7.8,0.559,15.9,27,0.292,1.772,65.17142857,54.62857143,1
Alabama NCAA,0.556,10.64,12,4,2,8,70.2,103,0.419,0.355,0.55,50.3,50.3,9,14.7,0.519,17.8,29.3,0.281,5.91584,72.33333333,70.63888889,1
Saint Joseph's NCAA,0.778,4.93,12,4,10,2,70.2,109.6,0.374,0.356,0.548,51.9,54.7,7.3,9.2,0.512,12.3,27.9,0.268,3.83554,77.22222222,70.05555556,1
Providence NCAA,0.686,8.46,13,4,7,4,69.8,104.4,0.373,0.371,0.523,49.4,62.4,9.3,8.9,0.48,13.9,30.3,0.27,5.80356,73.62857143,70.14285714,1
Rhode Island NCAA,0.765,4.61,15,1,7,4,69.2,108.9,0.301,0.32,0.539,50,54.5,10.5,9.5,0.511,13.1,30.8,0.209,3.52665,75.97058824,68.76470588,1
San Diego State NCAA,0.75,4.24,16,1,6,5,60.8,100.7,0.362,0.308,0.496,52.4,47.1,11.2,14.1,0.467,15.4,35.4,0.228,3.18,61.83333333,53.86111111,1
Saint Louis NCAA,0.794,4.24,14,3,11,1,67.4,102.4,0.404,0.322,0.533,51,58.1,10.9,9.9,0.494,16.2,29.4,0.281,3.36656,69.82352941,61.91176471,1
Southern California NCAA,0.722,6.4,14,3,6,5,70.1,111.2,0.368,0.366,0.56,50.3,56.4,9.9,13.3,0.522,13.7,30.9,0.273,4.6208,78.22222222,73.13888889,1
Oregon NCAA,0.722,7.65,17,2,6,4,68,109.3,0.286,0.339,0.557,50.9,51.2,8.3,11,0.524,14.7,30.8,0.217,5.5233,75.36111111,70.83333333,1
Dayton NCAA,0.75,4.06,16,0,5,6,64.2,105.1,0.482,0.382,0.565,48.6,60.5,10.8,7.2,0.53,16.1,23.3,0.33,3.045,67.75,60.83333333,1
Harvard NCAA,0.844,-0.47,11,1,11,3,64.6,111.6,0.48,0.283,0.564,52.1,57.1,11.6,13.4,0.519,15,32.8,0.347,-0.39668,73.21875,61,1
Middle Tennessee NCAA,0.861,-0.48,13,2,11,2,66.4,112.4,0.304,0.299,0.567,53.9,54.4,10.1,8.3,0.543,13.6,30.7,0.212,-0.41328,74.91666667,63.86111111,1
Hawaii NCAA,0.824,-1.04,16,3,7,2,71.6,107.2,0.449,0.379,0.555,53,58.8,10.5,10,0.52,15.8,31,0.307,-0.85696,77.05882353,66.67647059,1
Northern Iowa NCAA,0.639,4.44,11,3,6,8,64.1,106.2,0.34,0.427,0.572,46.8,50.5,8.8,7.7,0.535,14.2,17.6,0.257,2.83716,68.75,63.97222222,1
Buffalo NCAA,0.75,0.25,14,1,8,5,73.9,113.3,0.298,0.406,0.572,51.4,54,8.4,10.1,0.549,14.3,31.6,0.208,0.1875,84.63888889,76.16666667,1
Little Rock NCAA,0.857,-1.76,14,0,12,4,64.6,108.8,0.315,0.354,0.553,50.1,50.9,10.1,9.6,0.52,13.6,27.3,0.229,-1.50832,71.05714286,60.82857143,1
North Dakota State NCAA,0.788,-0.02,12,1,10,5,63.9,117.7,0.409,0.275,0.593,53.2,43,9.7,13.1,0.555,13.4,31.7,0.307,-0.01576,75.51515152,65.57575758,1
Georgia State NCAA,0.714,-2.03,12,1,8,8,64.3,109.8,0.383,0.278,0.563,48.9,53.1,14.1,13.5,0.527,14.2,30,0.277,-1.44942,71.4,62.4,1
Mercer NCAA,0.75,-3.42,17,1,9,7,65.7,115.8,0.384,0.367,0.582,52.9,59.7,8.6,11.8,0.547,14.7,34,0.282,-2.565,78.77777778,66.94444444,1
Stephen F. Austin NCAA,0.914,-6.76,15,0,14,2,65.5,115.2,0.402,0.36,0.561,53.8,62.3,11.1,8.6,0.525,14.2,38.4,0.286,-6.17864,76.02857143,63.4,1
Marshall NCAA,0.694,0.44,15,2,6,8,76.4,108.6,0.335,0.453,0.583,46.7,59,9.1,12.7,0.548,15.5,22.2,0.256,0.30536,83.80555556,79.13888889,1
Middle Tennessee NCAA,0.714,-0.7,11,3,8,6,69.1,104.7,0.355,0.354,0.537,51.4,50.1,8.9,9.9,0.518,15,29.1,0.218,-0.4998,72.54285714,68.85714286,1
Alabama-Birmingham NCAA,0.556,1.62,13,4,3,8,65.9,101.5,0.35,0.297,0.52,51,59.1,9.7,13,0.477,16.8,34.2,0.259,0.90072,68.77777778,68.11111111,1
Maryland-Baltimore County NCAA,0.694,-3.84,15,2,9,7,69.2,105.6,0.307,0.45,0.55,49.1,59.1,10.8,7.3,0.531,15.5,26.8,0.198,-2.66496,73.05555556,68.5,1
Stetson,0.353,-4.35,6,8,5,13,73.5,106.9,0.341,0.364,0.553,47.1,54,8.4,5.5,0.519,14.5,25.6,0.246,-1.53555,80.26470588,82.55882353,1
Citadel,0.367,-4.68,8,6,3,10,60.3,105.3,0.38,0.359,0.566,49.8,60.9,7.7,6.4,0.522,18.8,32,0.292,-1.71756,63.96666667,68.6,1
Kansas NCAA,0.735,12.81,16,0,3,8,70.3,106,0.329,0.35,0.552,51.7,48.8,9.6,11,0.523,16.1,29.7,0.23,9.41535,75.38235294,70.08823529,1
Washington NCAA,0.765,6.41,15,1,7,4,67.1,103.6,0.351,0.398,0.551,48.1,47.5,13.3,16.2,0.521,17.4,29.5,0.244,4.90365,69.82352941,64.38235294,1
Villanova NCAA,0.735,8.03,13,2,5,6,65.2,112.9,0.353,0.535,0.567,51.9,57.7,8.2,8.9,0.534,14.2,31.1,0.257,5.90205,74.47058824,67.08823529,1
Wofford NCAA,0.879,0.1,15,1,11,3,68.7,119.9,0.27,0.432,0.6,55,50.9,9.9,9.2,0.583,13.6,33.1,0.188,0.0879,83,65.60606061,1
Maryland NCAA,0.688,10.45,15,3,6,5,66.3,107.6,0.329,0.37,0.556,56.1,52.4,6.6,13.3,0.519,17,33.9,0.246,7.1896,71.34375,65.0625,1
Buffalo NCAA,0.912,2.18,14,0,12,3,74.7,113.2,0.322,0.434,0.561,52.5,55.5,9.8,10.5,0.536,13.5,31.8,0.223,1.98816,84.94117647,70.52941176,1
Central Florida NCAA,0.742,4.65,15,2,5,5,67.2,107,0.464,0.361,0.554,51.5,53.7,8.5,12.4,0.527,15.4,29.3,0.3,3.4503,72.12903226,64.29032258,1
Baylor NCAA,0.594,8.4,13,5,5,6,66.6,107.1,0.326,0.404,0.536,54.5,54.3,9.2,13.9,0.509,16.5,38,0.22,4.9896,71.65625,67.1875,1
Florida NCAA,0.559,11.11,9,6,5,6,64.8,104.2,0.303,0.434,0.532,49.6,51.1,11,11.3,0.499,15.5,31.1,0.218,6.21049,68.26470588,63.64705882,1
Iowa NCAA,0.667,9.82,14,4,4,6,70.3,110.6,0.423,0.39,0.568,50.7,60.2,8.7,9.3,0.526,15,30,0.313,6.54994,78.3030303,73.63636364,1
Oklahoma NCAA,0.594,11.79,11,4,5,7,69.8,101.6,0.314,0.333,0.531,50.4,48.9,8.5,8.5,0.502,15.4,26.1,0.217,7.00326,71.15625,68.21875,1
UC-Irvine NCAA,0.857,-2.99,12,2,13,2,66.3,108.4,0.295,0.321,0.544,55.1,49,8.5,11.1,0.517,14.9,34.3,0.206,-2.56243,72.88571429,63.31428571,1
Liberty NCAA,0.824,-5.21,16,1,11,3,65.3,113.3,0.258,0.435,0.597,51.7,54.8,9.8,8.2,0.571,15,25.9,0.199,-4.29304,74,60.76470588,1
Minnesota NCAA,0.618,11.19,14,3,2,9,68,103.7,0.42,0.288,0.522,51.8,60,7,10.3,0.483,15,31.7,0.286,6.91542,70.79411765,69.17647059,1
Ohio State NCAA,0.576,11.03,12,6,4,7,66.8,103.8,0.34,0.398,0.542,51,59,8.8,7.3,0.505,16.3,27.8,0.249,6.35328,69.63636364,66.21212121,1
Murray State NCAA,0.871,-4.45,15,1,10,3,71.7,116.1,0.333,0.368,0.59,52.6,59.8,10.6,11.7,0.56,14.7,32,0.246,-3.87595,83.29032258,67.77419355,1
Michigan State NCAA,0.829,6.94,14,2,7,3,67,118.3,0.3,0.356,0.588,58,71.3,6.6,12.9,0.563,14.6,36.4,0.218,5.75326,79.8,64.14285714,0
Virginia NCAA,0.912,9.07,16,1,10,1,60.6,110.4,0.245,0.35,0.555,51.2,54,11.2,12.3,0.527,12.3,26.9,0.184,8.27184,67.14705882,54,0
West Virginia NCAA,0.743,9.78,13,2,7,4,70.7,110.3,0.462,0.306,0.536,56.1,54.1,13.8,8.5,0.498,16.3,41.9,0.311,7.26654,78.54285714,66.71428571,0
Purdue NCAA,0.743,7.46,17,1,5,5,67.9,113.5,0.354,0.358,0.571,57.3,64.1,6.1,11.7,0.536,14.9,34.5,0.263,5.54278,77.88571429,65.17142857,0
Duke NCAA,0.743,8.48,17,0,4,5,65.5,119.4,0.388,0.397,0.574,51.5,54.8,10.6,7.4,0.538,12.1,34.5,0.283,6.30064,78.42857143,67.4,0
Oklahoma State NCAA,0.606,12.22,11,5,7,5,72.7,117.8,0.383,0.357,0.583,52.9,50.8,10.5,8.1,0.539,15.1,38.1,0.302,7.40532,85.6969697,78.45454545,0
Oklahoma State NCAA,0.618,8.34,13,3,3,7,69.5,112.8,0.497,0.338,0.569,48.8,51.6,10.8,12.2,0.524,12.9,28,0.357,5.15412,80.23529412,69.55882353,0
Arizona NCAA,0.735,7.23,17,1,5,5,69.8,112.8,0.438,0.294,0.575,56.5,51.3,6.8,11.3,0.536,15.7,34.9,0.316,5.31405,80.44117647,68.88235294,0
Southern Methodist NCAA,0.857,4.45,18,0,8,3,63.7,116.6,0.36,0.365,0.574,56.3,61.9,9,11.1,0.547,14.3,37.1,0.251,3.81365,74.25714286,60,0
Iowa State NCAA,0.735,9.15,15,1,6,5,69.8,111.4,0.365,0.368,0.571,50.5,58.1,9.2,9.7,0.543,13.9,28.3,0.254,6.72525,77.79411765,69,0
Baylor NCAA,0.706,9.33,16,2,6,5,62.8,109.2,0.386,0.334,0.53,55.9,61.1,12.2,11.2,0.497,16.4,42.4,0.26,6.58698,69.08823529,60.23529412,0
Ohio State NCAA,0.714,8.12,17,3,5,5,65.1,106.1,0.423,0.329,0.54,50.2,49.9,11.8,12.2,0.503,14.9,29.6,0.291,5.79768,69.48571429,59.77142857,0
Creighton NCAA,0.714,8.95,13,4,7,4,72.9,112.3,0.277,0.358,0.592,49.3,55.5,8.4,7.6,0.576,15.2,24.8,0.189,6.3903,81.82857143,72.82857143,0
Wichita State NCAA,0.758,5.46,13,3,9,2,70,117.3,0.348,0.392,0.583,57.1,63.7,6.6,11.1,0.551,14.1,35.5,0.257,4.13868,82.75757576,71.63636364,0
Texas Christian NCAA,0.636,9.68,15,3,3,7,70,115,0.342,0.352,0.59,54.5,62.8,9.1,9.4,0.566,15.4,34,0.241,6.15648,82.06060606,75.36363636,0
Creighton NCAA,0.636,8.1,16,2,4,7,72.9,113.7,0.259,0.45,0.599,51,58.3,7.7,6.7,0.575,13.9,22.3,0.194,5.1516,83.51515152,74.06060606,0
Texas NCAA,0.588,9.07,13,5,4,7,62.9,105.9,0.365,0.341,0.531,56,55.5,5.9,20,0.491,16.8,37.9,0.265,5.33316,67.35294118,60.26470588,0
Baylor NCAA,0.647,9.76,15,5,6,5,67.6,112.8,0.375,0.286,0.555,55.6,64.6,11.6,11.2,0.518,15.5,40.1,0.272,6.31472,77.08823529,69.58823529,0
Arizona NCAA,0.771,6.84,15,1,8,3,68.7,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12,0.563,15.3,33.2,0.281,5.27364,80.51428571,71.68571429,0
