School,Win.per,SOS,HomeW,HomeL,AwayW,AwayL,Pace,ORtg,FTr,ThreePAr,TS.per,TRB.per,AST.per,STL.per,BLK.per,eFG.per,TOV.per,ORB.per,FTperFGA,WinSOS,PPG,OPPG,GamesWon
Texas Southern NCAA,0.444,-5.53,8,2,5,17,72.7,105.7,0.429,0.37,0.548,48.5,47.4,7.8,9.3,0.505,15.1,28.2,0.311,-2.45532,77.41666667,79.41666667,0
Hampton NCAA,0.486,-7.08,6,5,5,12,69.5,96.1,0.438,0.326,0.496,50.1,46.7,9.6,10.5,0.456,17.3,31.8,0.286,-3.44088,67.02857143,68.2,0
Hampton NCAA,0.656,-8.45,9,2,8,7,71.7,101,0.414,0.345,0.502,53.1,47,7.2,9,0.464,15.7,34.6,0.273,-5.5432,73.84375,74.0625,0
Holy Cross NCAA,0.429,-6.11,8,6,5,13,64.6,98.4,0.361,0.409,0.515,45.6,61.9,9.5,7.8,0.479,14.9,23.1,0.248,-2.62119,64.77142857,69.85714286,0
Wisconsin NCAA,0.697,11.46,12,3,8,5,64.9,104.5,0.275,0.341,0.535,49.8,49.3,7.7,11.3,0.515,12.8,24,0.178,7.98762,69.06060606,61.42424242,0
Cincinnati NCAA,0.824,5.11,16,2,7,4,64.9,109.7,0.381,0.331,0.529,53.9,54.1,9.4,14.7,0.49,13.4,37.2,0.268,4.21064,71.70588235,62.20588235,0
Kansas State NCAA,0.758,9.22,13,2,7,5,65,101.3,0.307,0.382,0.521,50.8,57.9,11.7,7.8,0.495,15.1,27.9,0.204,6.98876,65.81818182,59.24242424,0
Mississippi State NCAA,0.697,9.54,14,3,5,5,68.5,112,0.323,0.39,0.573,52.8,51.4,11.7,13.6,0.546,16.5,34.8,0.231,6.64938,77.33333333,70.12121212,0
Marquette NCAA,0.727,7.55,16,3,6,4,70.6,108.9,0.359,0.417,0.578,53.1,51.8,6.8,11.2,0.541,17,29.1,0.272,5.48885,77.72727273,69.09090909,0
Saint Mary's (CA) NCAA,0.667,4.44,14,3,5,5,64.5,112.6,0.297,0.35,0.57,54.4,37.9,9.3,6.9,0.54,14.1,31.2,0.221,2.96148,72.90909091,64.36363636,0
Virginia Commonwealth NCAA,0.781,2.75,16,1,8,4,69,102.7,0.36,0.411,0.539,51,55.4,11.5,12.3,0.506,17.4,31.3,0.251,2.14775,71.4375,61.59375,0
Iowa State NCAA,0.676,9.04,12,4,5,6,68.4,113.3,0.303,0.396,0.577,50.5,54.5,10.2,12.8,0.549,13.9,28.7,0.222,6.11104,77.44117647,68.32352941,0
Nevada NCAA,0.879,2.59,15,0,9,3,71,113.7,0.407,0.427,0.574,51.7,54.6,8.7,11.1,0.541,12.7,26.5,0.288,2.27661,80.66666667,66.66666667,0
Georgia State NCAA,0.727,0.36,13,1,7,7,71.4,107.9,0.355,0.438,0.57,45.7,46.3,11.2,14.4,0.549,14.7,23.5,0.235,0.26172,77.06060606,72.93939394,0
Mississippi NCAA,0.625,8.22,11,5,6,5,69.2,108.5,0.317,0.395,0.569,51.1,54.2,10.5,9.8,0.53,16,30.4,0.248,5.1375,75.40625,70.375,0
St. John's (NY) NCAA,0.636,6.04,11,4,4,7,72.4,105.9,0.294,0.383,0.553,45.7,50.2,12,10,0.523,12.8,21.3,0.213,3.84144,77.51515152,74.78787879,0
Temple NCAA,0.719,4.73,13,2,8,5,70.3,104.8,0.33,0.377,0.537,48,54.8,12.1,6.3,0.501,13.8,26,0.241,3.40087,74.84375,71.15625,0
Syracuse NCAA,0.606,10.65,13,6,6,4,67.3,103.2,0.368,0.428,0.528,48.4,50.3,12.2,16.7,0.495,15.8,30.1,0.251,6.4539,69.72727273,65.6969697,0
Arizona State NCAA,0.688,5.71,13,3,6,5,72.1,106.2,0.436,0.357,0.542,53.1,51.1,8.5,9.7,0.508,15.9,32.4,0.292,3.92848,77.8125,73.0625,0
New Mexico State NCAA,0.882,-2.71,16,1,10,1,68.3,114,0.337,0.466,0.561,57.1,53.5,8.2,8.1,0.537,14.5,36.8,0.227,-2.39022,78.14705882,64.14705882,0
Northeastern NCAA,0.697,-0.95,11,2,8,6,66.2,112.9,0.343,0.463,0.603,50.1,54.7,9.1,5.9,0.572,15.1,22.7,0.257,-0.66215,76.09090909,70.27272727,0
